schedule_date,schedule_season,schedule_week,schedule_playoff,team_home,score_home,score_away,team_away
-105130800,1966,1,0,Dolphins,14,23,Raiders
-105044400,1966,1,0,Oilers,45,7,Broncos
-104958000,1966,1,0,Chargers,27,7,Bills
-104526000,1966,2,0,Dolphins,14,19,Jets
-104439600,1966,1,0,Packers,24,3,Colts
-104439600,1966,2,0,Oilers,31,0,Raiders
-104439600,1966,2,0,Chargers,24,0,Patriots
-104353200,1966,1,0,Falcons,14,19,Rams
-104353200,1966,2,0,Bills,20,42,Chiefs
-104353200,1966,1,0,Lions,14,3,Bears
-104353200,1966,1,0,Steelers,34,34,Giants
-104353200,1966,1,0,49ers,20,20,Vikings
-104353200,1966,1,0,Cardinals,16,13,Eagles
-104353200,1966,1,0,Redskins,14,38,Browns
-103921200,1966,2,0,Rams,31,17,Bears
-103748400,1966,3,0,Bills,58,24,Dolphins
-103748400,1966,2,0,Browns,20,21,Packers
-103748400,1966,2,0,Cowboys,52,7,Giants
-103748400,1966,3,0,Broncos,10,24,Patriots
-103748400,1966,2,0,Vikings,23,38,Colts
-103748400,1966,3,0,Jets,52,13,Oilers
-103748400,1966,3,0,Raiders,10,32,Chiefs
-103748400,1966,2,0,Eagles,23,10,Falcons
-103748400,1966,2,0,Steelers,17,3,Lions
-103748400,1966,2,0,Cardinals,23,7,Redskins
-103143600,1966,3,0,Colts,36,14,49ers
-103143600,1966,4,0,Patriots,24,43,Chiefs
-103143600,1966,4,0,Bills,27,20,Oilers
-103143600,1966,3,0,Browns,28,34,Cardinals
-103143600,1966,3,0,Cowboys,28,17,Vikings
-103143600,1966,4,0,Broncos,7,16,Jets
-103143600,1966,3,0,Lions,28,10,Falcons
-103143600,1966,3,0,Packers,24,13,Rams
-103143600,1966,4,0,Raiders,20,29,Chargers
-103143600,1966,3,0,Eagles,35,17,Giants
-103143600,1966,3,0,Steelers,27,33,Redskins
-102711600,1966,4,0,Rams,34,3,49ers
-102538800,1966,4,0,Falcons,14,47,Cowboys
-102538800,1966,5,0,Patriots,24,24,Jets
-102538800,1966,5,0,Broncos,40,38,Oilers
-102538800,1966,4,0,Packers,23,14,Lions
-102538800,1966,5,0,Chiefs,14,29,Bills
-102538800,1966,4,0,Vikings,10,13,Bears
-102538800,1966,4,0,Giants,7,28,Browns
-102538800,1966,4,0,Eagles,10,41,Cardinals
-102538800,1966,5,0,Chargers,44,10,Dolphins
-102538800,1966,4,0,Redskins,24,10,Steelers
-102020400,1966,6,0,Bills,10,20,Patriots
-102020400,1966,5,0,Browns,41,10,Steelers
-102020400,1966,6,0,Chiefs,37,10,Broncos
-102020400,1966,6,0,Jets,17,16,Chargers
-101934000,1966,5,0,Bears,27,17,Colts
-101934000,1966,5,0,Cowboys,56,7,Eagles
-101934000,1966,5,0,Lions,7,14,Rams
